Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_Media_Ens,TMIN_Media_Ens,TMEDIA_Media_Ens,Prec_Media_Ens,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-01-01,28.9,10.0,0.0,19.697,,,,,,,,,,,,,,,,,,,,,17.697,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-02,25.8,9.2,1.25,17.134,,,,,,,,,,,,,,,,,,,,,15.134,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-03,19.4,7.5,0.0,13.147,,,,,,,,,,,,,,,,,,,,,11.147,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-04,21.6,9.5,0.0,15.372,,,,,,,,,,,,,,,,,,,,,13.372,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-05,31.1,8.1,0.0,19.822,,,,,,,,,,,,,,,,,,,,,17.822,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-06,32.0,14.6,0.25,23.168,,,,,,,,,,,,,,,,,,,,,21.168,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-07,24.2,12.5,0.25,19.185,,,,,,,,,,,,,,,,,,,,,17.185,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-08,22.6,5.3,0.0,14.295,,,,,,,,,,,,,,,,,,,,,12.295,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-09,25.5,11.7,0.0,18.228,,,,,,,,,,,,,,,,,,,,,16.228,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-10,27.9,14.9,0.0,20.465,,,,,,,,,,,,,,,,,,,,,18.465,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-11,35.8,12.7,0.0,23.593,,,,,,,,,,,,,,,,,,,,,21.593,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-12,39.2,17.5,1.25,25.769,,,,,,,,,,,,,,,,,,,,,23.769,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-13,27.0,15.8,0.75,19.809,,,,,,,,,,,,,,,,,,,,,17.809,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-14,32.9,12.3,7.75,22.326,,,,,,,,,,,,,,,,,,,,,20.326,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-15,30.4,17.2,0.0,22.735,,,,,,,,,,,,,,,,,,,,,20.735,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-16,29.4,10.3,0.25,20.376,,,,,,,,,,,,,,,,,,,,,18.376,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-17,34.6,15.5,3.75,20.867,,,,,,,,,,,,,,,,,,,,,18.867,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-18,22.8,8.8,0.25,16.189,,,,,,,,,,,,,,,,,,,,,14.189,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-19,23.6,5.8,0.0,14.77,,,,,,,,,,,,,,,,,,,,,12.77,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-20,28.3,7.6,0.0,18.505,,,,,,,,,,,,,,,,,,,,,16.505,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-21,31.1,14.6,0.0,22.611,,,,,,,,,,,,,,,,,,,,,20.611,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-22,31.9,16.0,0.0,23.72,,,,,,,,,,,,,,,,,,,,,21.72,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-23,33.6,16.9,0.0,24.708,,,,,,,,,,,,,,,,,,,,,22.708,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-24,32.2,18.4,0.0,24.515,,,,,,,,,,,,,,,,,,,,,22.515,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-25,35.5,19.0,0.0,26.692,,,,,,,,,,,,,,,,,,,,,24.692,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-26,35.3,19.9,3.5,25.228,,,,,,,,,,,,,,,,,,,,,23.228,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-27,27.5,17.0,0.0,20.918,,,,,,,,,,,,,,,,,,,,,18.918,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-28,31.6,9.7,0.0,19.665,,,,,,,,,,,,,,,,,,,,,17.665,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-29,29.6,13.5,0.0,21.222,,,,,,,,,,,,,,,,,,,,,19.222,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-30,28.3,18.1,2.25,21.936,,,,,,,,,,,,,,,,,,,,,19.936,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-01-31,30.0,15.8,0.0,22.031,,,,,,,,,,,,,,,,,,,,,20.031,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-01,30.2,15.5,0.75,22.08,,,,,,,,,,,,,,,,,,,,,20.08,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-02,36.7,18.7,0.0,26.956,,,,,,,,,,,,,,,,,,,,,24.956,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-03,33.3,20.0,0.0,25.742,,,,,,,,,,,,,,,,,,,,,23.742,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-04,30.4,14.3,0.25,21.165,,,,,,,,,,,,,,,,,,,,,19.165,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-05,29.3,17.3,0.0,22.012,,,,,,,,,,,,,,,,,,,,,20.012,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-06,29.5,9.7,0.0,19.755,,,,,,,,,,,,,,,,,,,,,17.755,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-07,27.7,12.3,0.0,19.325,,,,,,,,,,,,,,,,,,,,,17.325,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-08,31.3,10.1,0.0,19.974,,,,,,,,,,,,,,,,,,,,,17.974,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-09,29.7,16.2,4.25,20.839,,,,,,,,,,,,,,,,,,,,,18.839,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-10,32.7,16.8,3.0,23.035,,,,,,,,,,,,,,,,,,,,,21.035,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-11,25.3,16.3,0.0,20.81,,,,,,,,,,,,,,,,,,,,,18.81,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-12,28.6,12.7,0.0,19.56,,,,,,,,,,,,,,,,,,,,,17.56,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-13,22.5,10.1,0.0,16.44,,,,,,,,,,,,,,,,,,,,,14.44,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-14,28.0,10.3,1.75,18.337,,,,,,,,,,,,,,,,,,,,,16.337,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-15,27.2,15.2,1.25,20.099,,,,,,,,,,,,,,,,,,,,,18.099,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-16,30.0,14.9,0.0,21.174,,,,,,,,,,,,,,,,,,,,,19.174,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-17,30.4,17.6,0.0,22.159,,,,,,,,,,,,,,,,,,,,,20.159,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-18,32.3,15.5,0.0,22.956,,,,,,,,,,,,,,,,,,,,,20.956,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-19,25.7,15.2,0.0,21.238,,,,,,,,,,,,,,,,,,,,,19.238,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-20,30.8,8.2,0.0,19.503,,,,,,,,,,,,,,,,,,,,,17.503,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-21,32.6,12.8,0.0,22.285,,,,,,,,,,,,,,,,,,,,,20.285,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-22,30.3,16.5,0.0,22.634,,,,,,,,,,,,,,,,,,,,,20.634,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-23,30.5,19.1,0.25,23.393,,,,,,,,,,,,,,,,,,,,,21.393,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-24,27.5,16.2,1.5,21.684,,,,,,,,,,,,,,,,,,,,,19.684,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-25,21.7,12.4,0.0,16.966,,,,,,,,,,,,,,,,,,,,,14.966,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-26,25.4,8.3,0.0,15.828,,,,,,,,,,,,,,,,,,,,,13.828,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-27,29.2,8.6,0.0,19.457,,,,,,,,,,,,,,,,,,,,,17.457,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-02-28,30.4,13.3,0.0,22.038,,,,,,,,,,,,,,,,,,,,,20.038,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-03-01,33.2,16.4,0.0,24.424,,,,,,,,,,,,,,,,,,,,,22.424,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-03-02,30.9,17.9,0.0,23.224,,,,,,,,,,,,,,,,,,,,,21.224,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-03-03,28.5,17.9,0.0,22.497,,,,,,,,,,,,,,,,,,,,,20.497,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-03-04,29.6,13.0,0.0,20.615,,,,,,,,,,,,,,,,,,,,,18.615,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
2026-03-05,24.1,13.7,0.0,17.826,,,,,,,,,,,,,,,,,,,,,15.826,SIGA_INTA_BALCARCE,Observado,Observado_estacion,,,,,2026-08-27T20:38:04+00:00
